msg_count,send_time,recv_time,latency_us,payload_bytes
81,1755012070596572,1755012070842462,245890,256
80,1755012070596181,1755012070842391,246210,256
96,1755012070604366,1755012070842665,238299,256
92,1755012070602197,1755012070842974,240777,256
65,1755012070589736,1755012070843012,253276,256
79,1755012070595746,1755012070843322,247576,256
94,1755012070603354,1755012070843576,240222,256
93,1755012070602817,1755012070843368,240551,256
81,1755012070596572,1755012070843436,246864,256
83,1755012070597337,1755012070843814,246477,256
82,1755012070596961,1755012070843980,247019,256
81,1755012070596572,1755012070844305,247733,256
97,1755012070604858,1755012070844359,239501,256
3,1755012070545006,1755012070844713,299707,256
93,1755012070602817,1755012070844666,241849,256
80,1755012070596181,1755012070845360,249179,256
95,1755012070603846,1755012070845468,241622,256
94,1755012070603354,1755012070845481,242127,256
84,1755012070597713,1755012070845819,248106,256
82,1755012070596961,1755012070846042,249081,256
83,1755012070597337,1755012070846091,248754,256
98,1755012070605281,1755012070846271,240990,256
82,1755012070596961,1755012070846333,249372,256
94,1755012070603354,1755012070846858,243504,256
4,1755012070551453,1755012070846733,295280,256
81,1755012070596572,1755012070847057,250485,256
95,1755012070603846,1755012070847574,243728,256
96,1755012070604366,1755012070847643,243277,256
85,1755012070598346,1755012070847658,249312,256
83,1755012070597337,1755012070847884,250547,256
84,1755012070597713,1755012070847916,250203,256
83,1755012070597337,1755012070848163,250826,256
99,1755012070605748,1755012070848008,242260,256
95,1755012070603846,1755012070848637,244791,256
66,1755012070590288,1755012070848639,258351,256
82,1755012070596961,1755012070848801,251840,256
97,1755012070604858,1755012070849284,244426,256
96,1755012070604366,1755012070849331,244965,256
86,1755012070599001,1755012070849707,250706,256
84,1755012070597713,1755012070849798,252085,256
84,1755012070597713,1755012070849826,252113,256
85,1755012070598346,1755012070849911,251565,256
96,1755012070604366,1755012070850033,245667,256
83,1755012070597337,1755012070850199,252862,256
67,1755012070590620,1755012070850312,259692,256
98,1755012070605281,1755012070850659,245378,256
97,1755012070604858,1755012070851062,246204,256
87,1755012070599443,1755012070851085,251642,256
85,1755012070598346,1755012070851242,252896,256
85,1755012070598346,1755012070851282,252936,256
97,1755012070604858,1755012070851408,246550,256
86,1755012070599001,1755012070851483,252482,256
84,1755012070597713,1755012070851430,253717,256
2,1755012070546960,1755012070851644,304684,256
99,1755012070605748,1755012070852325,246577,256
98,1755012070605281,1755012070852841,247560,256
88,1755012070600088,1755012070852903,252815,256
86,1755012070599001,1755012070852972,253971,256
98,1755012070605281,1755012070853069,247788,256
86,1755012070599001,1755012070853158,254157,256
68,1755012070591759,1755012070853211,261452,256
85,1755012070598346,1755012070853168,254822,256
87,1755012070599443,1755012070853501,254058,256
99,1755012070605748,1755012070854094,248346,256
89,1755012070600662,1755012070854329,253667,256
99,1755012070605748,1755012070854533,248785,256
86,1755012070599001,1755012070854625,255624,256
4,1755012070545291,1755012070854622,309331,256
87,1755012070599443,1755012070854593,255150,256
87,1755012070599443,1755012070854683,255240,256
88,1755012070600088,1755012070854915,254827,256
87,1755012070599443,1755012070855647,256204,256
90,1755012070601208,1755012070855688,254480,256
5,1755012070551681,1755012070855761,304080,256
88,1755012070600088,1755012070855916,255828,256
88,1755012070600088,1755012070856026,255938,256
89,1755012070600662,1755012070856087,255425,256
88,1755012070600088,1755012070856783,256695,256
69,1755012070592116,1755012070857190,265074,256
89,1755012070600662,1755012070857272,256610,256
